implementation_id,implementation_type,tx_hash,block_number,block_timestamp,chain,contract_address,method_called,caller_address,caller_role,gas_used,description,issuer
CU-IMP-0001,ONCHAIN_TX,0x15cbde1b9bf285db50e22eeff1a7d04ea267dd94726df8ecabdb4cb6c2b590cb,10274701,2020-06-16 04:39:08.000 UTC,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,blacklist(address),,BLACKLISTER,,,Circle
CU-IMP-0002,ONCHAIN_TX,0x0461666b70f3b121847530e7be63b148fcee4d830edff546ca64d29cbcd99aed,12285873,2021-04-21 21:04:36.000 UTC,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,blacklist(address),,BLACKLISTER,,,Circle
CU-IMP-0003,ONCHAIN_TX,0x72959622df120df8cfe27fa371c5b82542cda695d09568975259c0cf70430bf9,12285873,2021-04-21 21:04:36.000 UTC,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,blacklist(address),,BLACKLISTER,,,Circle
CU-IMP-0004,ONCHAIN_TX,0x0002f34f6b76876f3ce737e8714c213b016fe5e5a1e1738a1a2d60b66fd6259a,12285943,2021-04-21 21:19:58.000 UTC,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,blacklist(address),,BLACKLISTER,,,Circle
CU-IMP-0005,ONCHAIN_TX,0x4098800943f50ee7c5b7c7369bba2f3903ae5e59bd057aa00e2f98abed44d4a7,12285943,2021-04-21 21:19:58.000 UTC,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,blacklist(address),,BLACKLISTER,,,Circle
CU-IMP-0006,ONCHAIN_TX,0x90b22a3b5f3cabd57e3873f70806b3b70d0c2341baa29d3d303f7da8948d1ea8,12285943,2021-04-21 21:19:58.000 UTC,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,blacklist(address),,BLACKLISTER,,,Circle
CU-IMP-0007,ONCHAIN_TX,0xb3c94e4b5f23bde27a973e7c599b2cb98b80145c2a9dfeca7d8f70a489be549f,12285943,2021-04-21 21:19:58.000 UTC,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,blacklist(address),,BLACKLISTER,,,Circle
CU-IMP-0008,ONCHAIN_TX,0x7bc71744e72022b0bf680066802102e84572a11e772dfa0efc483a93c6c4105c,12286225,2021-04-21 22:22:29.000 UTC,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,blacklist(address),,BLACKLISTER,,,Circle
CU-IMP-0009,ONCHAIN_TX,0x23f04d3f3540658611e1e7bb7bc31786467623a5fa512e6dbedbca293aabb500,13279129,2021-09-23 01:44:28.000 UTC,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,blacklist(address),,BLACKLISTER,,,Circle
CU-IMP-0010,ONCHAIN_TX,0xfeb3d2c3d4117dac054bf2d4ad46474b9ad94d7cc7b50e7b945dc308538a0236,13279129,2021-09-23 01:44:28.000 UTC,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,blacklist(address),,BLACKLISTER,,,Circle
CU-IMP-0011,ONCHAIN_TX,0x1fb7af2604d2441f1c36534be0b94616e748133f7c57882d398ad681fe3c5b88,13279135,2021-09-23 01:44:56.000 UTC,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,blacklist(address),,BLACKLISTER,,,Circle
CU-IMP-0012,ONCHAIN_TX,0x2a4fc26c80db5fcc76e3b67b549ca28f2bfe00fd2b1f51c449151453bc74e06e,13279135,2021-09-23 01:44:56.000 UTC,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,blacklist(address),,BLACKLISTER,,,Circle
CU-IMP-0013,ONCHAIN_TX,0x14a97060a7370f5c88573f7d01391f6767133cfa596be9e2985ff57c042dfc23,13583147,2021-11-09 16:15:01.000 UTC,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,blacklist(address),,BLACKLISTER,,,Circle
