block_number,block_timestamp,contract_address,data,topic0,topic1,topic2,tx_hash
107482268,2023-07-28 16:55:13.000 UTC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0x,0xffa4e6181777692565cf28528fc88fd1516ea86b56da075235fa575af6a4b855,0x0000000000000000000000008f261486f21078f223cd7a09d293aa0f6802e27c,,0xbbed9fcc246fca5088966b4bae3f5179bb8bf1529c9dbeda152a1d72f4802278
107482659,2023-07-28 17:08:15.000 UTC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0x,0x117e3210bb9aa7d9baff172026820255c6f6c30ba8999d1c2fd88e2848137c4e,0x0000000000000000000000008f261486f21078f223cd7a09d293aa0f6802e27c,,0xc410055a210a7d8219f71b504689d7965de6541c6d1e1dbd2e9549596e352373
107608515,2023-07-31 15:03:27.000 UTC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0x,0xffa4e6181777692565cf28528fc88fd1516ea86b56da075235fa575af6a4b855,0x000000000000000000000000d882cfc20f52f2599d84b8e8d58c7fb62cfe344b,,0xb71216faafc6103951cf051d1e9fb896f5339ce7ce117d000d4eb156828a5c17
107608530,2023-07-31 15:03:57.000 UTC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0x,0xffa4e6181777692565cf28528fc88fd1516ea86b56da075235fa575af6a4b855,0x0000000000000000000000007f367cc41522ce07553e823bf3be79a889debe1b,,0xa4f3ef749793b6b3f343bfbe7c916d2e1a32962e00b48fbeb89fbb1d41d9c77a
107608540,2023-07-31 15:04:17.000 UTC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0x,0xffa4e6181777692565cf28528fc88fd1516ea86b56da075235fa575af6a4b855,0x0000000000000000000000001da5821544e25c636c1417ba96ade4cf6d2f9b5a,,0x96d76a3118e68d23f8906dfb78e22f6be17f8a5131b4249ce9239d22c2f2a932
107608549,2023-07-31 15:04:35.000 UTC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0x,0xffa4e6181777692565cf28528fc88fd1516ea86b56da075235fa575af6a4b855,0x0000000000000000000000007db418b5d567a4e0e8c59ad71be1fce48f3e6107,,0xff7de64bf0befd6b7de68d2a5b3d9db822f53ebed73742f44d4d07a9c57a147b
107608560,2023-07-31 15:04:57.000 UTC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0x,0xffa4e6181777692565cf28528fc88fd1516ea86b56da075235fa575af6a4b855,0x00000000000000000000000072a5843cc08275c8171e582972aa4fda8c397b2a,,0x510b14506bc2db7246ef3bebc5c63b490e2b9578dd6d9928749cf3fbc3dfd0b7
107608568,2023-07-31 15:05:13.000 UTC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0x,0xffa4e6181777692565cf28528fc88fd1516ea86b56da075235fa575af6a4b855,0x0000000000000000000000007f19720a857f834887fc9a7bc0a0fbe7fc7f8102,,0xf58c6134bef7a040e695789716451fedea189cd6e3ec7340a42946d451531f32
107608578,2023-07-31 15:05:33.000 UTC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0x,0xffa4e6181777692565cf28528fc88fd1516ea86b56da075235fa575af6a4b855,0x0000000000000000000000009f4cda013e354b8fc285bf4b9a60460cee7f7ea9,,0xbb4d8ca890325a6a21b35f2d2ec5431044032bfde8815250c2d44212a569fdec
107608588,2023-07-31 15:05:53.000 UTC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0x,0xffa4e6181777692565cf28528fc88fd1516ea86b56da075235fa575af6a4b855,0x000000000000000000000000a7e5d5a720f06526557c513402f2e6b5fa20b008,,0xf5f84fc3d136b6e5fa72046d18116729a4e6eb1ff24cdd28571e3a2a0372aec2
107608601,2023-07-31 15:06:19.000 UTC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0x,0xffa4e6181777692565cf28528fc88fd1516ea86b56da075235fa575af6a4b855,0x0000000000000000000000003cbded43efdaf0fc77b9c55f6fc9988fcc9b757d,,0xa663e79d22a15c3aa60f3c71ba28406c5ad7313c23ef523a721f99b2d705e139
107608617,2023-07-31 15:06:51.000 UTC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0x,0xffa4e6181777692565cf28528fc88fd1516ea86b56da075235fa575af6a4b855,0x00000000000000000000000067d40ee1a85bf4a4bb7ffae16de985e8427b6b45,,0x23ef310b4315c41cd108239feda2152fd490f5b1e9827d0891ea416443200556
107608624,2023-07-31 15:07:05.000 UTC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0x,0xffa4e6181777692565cf28528fc88fd1516ea86b56da075235fa575af6a4b855,0x0000000000000000000000006f1ca141a28907f78ebaa64fb83a9088b02a8352,,0x3aa066f86e94e9a5af33d57c83f07330b964ce5910ba336fd4d84f3f079181a4
107608633,2023-07-31 15:07:23.000 UTC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0x,0xffa4e6181777692565cf28528fc88fd1516ea86b56da075235fa575af6a4b855,0x0000000000000000000000006acdfba02d390b97ac2b2d42a63e85293bcc160e,,0x2c3fe1dbd85629addbdc07eb1ecccbe47d2af9a5b87c18a4aac1c27bff169f3e
107608644,2023-07-31 15:07:45.000 UTC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0x,0xffa4e6181777692565cf28528fc88fd1516ea86b56da075235fa575af6a4b855,0x00000000000000000000000048549a34ae37b12f6a30566245176994e17c6b4a,,0x5dafbadddae69e8f1684e888c21cf28a2317bee132e75775c0d84c44fb3853b6
107608652,2023-07-31 15:08:01.000 UTC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0x,0xffa4e6181777692565cf28528fc88fd1516ea86b56da075235fa575af6a4b855,0x0000000000000000000000005512d943ed1f7c8a43f3435c85f7ab68b30121b0,,0xa89dbdcaf4d718aef79bc72944c484e459fbcec4c4f2a310992f43addc712767
107608662,2023-07-31 15:08:21.000 UTC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0x,0xffa4e6181777692565cf28528fc88fd1516ea86b56da075235fa575af6a4b855,0x000000000000000000000000c455f7fd3e0e12afd51fba5c106909934d8a0e4a,,0xffebbd78bf3668087ebf78fc67d32c499dd75f2d423e0042aaed6ccf6ac43aaf
107608670,2023-07-31 15:08:37.000 UTC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0x,0xffa4e6181777692565cf28528fc88fd1516ea86b56da075235fa575af6a4b855,0x0000000000000000000000002f389ce8bd8ff92de3402ffce4691d17fc4f6535,,0xbc4876b4e2d41f3ce854b33132925420463131e5be62a6455e4188326fff2ae0
107608679,2023-07-31 15:08:55.000 UTC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0x,0xffa4e6181777692565cf28528fc88fd1516ea86b56da075235fa575af6a4b855,0x00000000000000000000000019aa5fe80d33a56d56c78e82ea5e50e5d80b4dff,,0x98bc561cf52a1b34ef79940b3b9c9d2820cefad918a39a80903538f88838f133
107608688,2023-07-31 15:09:13.000 UTC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0x,0xffa4e6181777692565cf28528fc88fd1516ea86b56da075235fa575af6a4b855,0x000000000000000000000000e7aa314c77f4233c18c6cc84384a9247c0cf367b,,0x383905ab76bf4d074965b2dde30992cba22ab397a712573bc6db83dfb5992443
107608698,2023-07-31 15:09:33.000 UTC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0x,0xffa4e6181777692565cf28528fc88fd1516ea86b56da075235fa575af6a4b855,0x000000000000000000000000308ed4b7b49797e1a98d3818bff6fe5385410370,,0x822c32c72b7aa3a4bd262d47f9c465873ddeb737470ef2aa2fd1c634c627686c
107608707,2023-07-31 15:09:51.000 UTC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0x,0xffa4e6181777692565cf28528fc88fd1516ea86b56da075235fa575af6a4b855,0x000000000000000000000000fec8a60023265364d066a1212fde3930f6ae8da7,,0xd863e03adf2e96b8e2713d6e44d78ac7fb821714a2d867fc659d39dde4c248b9
