action_id,action_date,mechanism_type,target_identifier,chain,block_number,ofac_party_name,ofac_party_ref,ofac_symbol,ofac_listed_address,match_basis,ofac_party_type,ofac_programs,ofac_listing_date
CU-ACT-0002,2021-04-21,BLACKLIST,0x7f367cc41522ce07553e823bf3be79a889debe1b,ethereum,12285873,Potekhin Danil Потехин Данил,29584,Digital Currency Address - ETH,0x7F367cC41522cE07553e823bf3be79A889DEbe1B,HEX_IDENTIFIER,Unknown,CYBER2,2020-09-16
CU-ACT-0003,2021-04-21,BLACKLIST,0x1da5821544e25c636c1417ba96ade4cf6d2f9b5a,ethereum,12285873,Secondeye Solution,30518,Digital Currency Address - ETH,0x1da5821544e25c636c1417ba96ade4cf6d2f9b5a,HEX_IDENTIFIER,Unknown,CYBER2; ELECTION-EO13848,2021-04-15
CU-ACT-0004,2021-04-21,BLACKLIST,0x7f19720a857f834887fc9a7bc0a0fbe7fc7f8102,ethereum,12285943,Secondeye Solution,30518,Digital Currency Address - ETH,0x7F19720A857F834887FC9A7bC0a0fBe7Fc7f8102,HEX_IDENTIFIER,Unknown,CYBER2; ELECTION-EO13848,2021-04-15
CU-ACT-0005,2021-04-21,BLACKLIST,0xd882cfc20f52f2599d84b8e8d58c7fb62cfe344b,ethereum,12285943,KARASAVIDI Dmitrii КАРАСАВИДИ Дмитрий,29585,Digital Currency Address - ETH,0xd882cfc20f52f2599d84b8e8d58c7fb62cfe344b,HEX_IDENTIFIER,Unknown,CYBER2,2020-09-16
CU-ACT-0006,2021-04-21,BLACKLIST,0x72a5843cc08275c8171e582972aa4fda8c397b2a,ethereum,12285943,Secondeye Solution,30518,Digital Currency Address - ETH,0x72a5843cc08275C8171E582972Aa4fDa8C397B2A,HEX_IDENTIFIER,Unknown,CYBER2; ELECTION-EO13848,2021-04-15
CU-ACT-0007,2021-04-21,BLACKLIST,0x7db418b5d567a4e0e8c59ad71be1fce48f3e6107,ethereum,12285943,Secondeye Solution,30518,Digital Currency Address - ETH,0x7Db418b5D567A4e0E8c59Ad71BE1FcE48f3E6107,HEX_IDENTIFIER,Unknown,CYBER2; ELECTION-EO13848,2021-04-15
CU-ACT-0008,2021-04-21,BLACKLIST,0x9f4cda013e354b8fc285bf4b9a60460cee7f7ea9,ethereum,12286225,SOUTHFRONT,31212,Digital Currency Address - ETH,0x9f4cda013e354b8fc285bf4b9a60460cee7f7ea9,HEX_IDENTIFIER,Unknown,CYBER2; ELECTION-EO13848; NPWMD,2021-04-15
CU-ACT-0009,2021-09-23,BLACKLIST,0x308ed4b7b49797e1a98d3818bff6fe5385410370,ethereum,13279129,"SUEX OTC, S.R.O.",33151,Digital Currency Address - ETH,0x308ed4b7b49797e1a98d3818bff6fe5385410370,HEX_IDENTIFIER,Unknown,CYBER2,2021-09-21
CU-ACT-0010,2021-09-23,BLACKLIST,0xe7aa314c77f4233c18c6cc84384a9247c0cf367b,ethereum,13279129,"SUEX OTC, S.R.O.",33151,Digital Currency Address - ETH,0xe7aa314c77f4233c18c6cc84384a9247c0cf367b,HEX_IDENTIFIER,Unknown,CYBER2,2021-09-21
CU-ACT-0011,2021-09-23,BLACKLIST,0x2f389ce8bd8ff92de3402ffce4691d17fc4f6535,ethereum,13279135,"SUEX OTC, S.R.O.",33151,Digital Currency Address - ETH,0x2f389ce8bd8ff92de3402ffce4691d17fc4f6535,HEX_IDENTIFIER,Unknown,CYBER2,2021-09-21
